,player id,player,World Ranking,Name
0,9261,Abraham Ancer,38.0,Abraham Ancer
1,5548,Adam Hadwin,50.0,Adam Hadwin
2,4989,Anirban Lahiri,406.0,Anirban Lahiri
3,6015,Adam Long,116.0,Adam Long
4,3832,Alexander Noren,99999.0,Alexander Noren
5,5502,Andrew Putnam,48.0,Andrew Putnam
6,10906,Aaron Rai,170.0,Aaron Rai
7,10372,Adam Schenk,221.0,Adam Schenk
8,388,Adam Scott,13.0,Adam Scott
9,9484,Alex Smalley,2074.0,Alex Smalley
10,9127,Adam Svensson,558.0,Adam Svensson
11,10577,Aaron Wise,113.0,Aaron Wise
12,10046,Bryson DeChambeau,14.0,Bryson DeChambeau
13,9584,Brandon Hagy,487.0,Brandon Hagy
14,1225,Brian Harman,123.0,Brian Harman
15,4780,Bo Hoag,337.0,Bo Hoag
16,1651,Billy Horschel,33.0,Billy Horschel
17,6011,Beau Hossler,182.0,Beau Hossler
18,1222,Brandt Snedeker,46.0,Brandt Snedeker
19,3596,Brendan Steele,404.0,Brendan Steele
20,4355673,Brandon Wu,972.0,Brandon Wu
21,11098,Cameron Champ,78.0,Cameron Champ
22,9126,Corey Conners,60.0,Corey Conners
23,10863,Cameron Davis,307.0,Cameron Davis
24,205,Charley Hoffman,158.0,Charley Hoffman
25,208,Charles Howell III,55.0,Charles Howell III
26,5724,Chan Kim,61.0,Chan Kim
27,3449,Chris Kirk,374.0,Chris Kirk
28,10910,Curtis Luck,647.0,Curtis Luck
29,10592,Collin Morikawa,65.0,Collin Morikawa
30,5532,Carlos Ortiz,142.0,Carlos Ortiz
31,6017,C.T. Pan,69.0,C.T. Pan
32,9131,Cameron Smith,53.0,Cameron Smith
33,4645,Cameron Tringale,218.0,Cameron Tringale
34,1264,Camilo Villegas,2074.0,Camilo Villegas
35,4425906,Cameron Young,1528.0,Cameron Young
36,9025,Daniel Berger,154.0,Daniel Berger
37,11456,Doug Ghim,413.0,Doug Ghim
38,3950,Danny Lee,90.0,Danny Lee
39,5574,David Lingmerth,829.0,David Lingmerth
40,6701,David Lipsky,194.0,David Lipsky
41,10054,Denny McCarthy,145.0,Denny McCarthy
42,10058,Davis Riley,945.0,Davis Riley
43,4304,Danny Willett,29.0,Danny Willett
44,5882,Emiliano Grillo,107.0,Emiliano Grillo
45,9364,Erik van Rooyen,49.0,Erik van Rooyen
46,1483,Francesco Molinari,18.0,Francesco Molinari
47,11393,Garrick Higgo,464.0,Garrick Higgo
48,3550,Gary Woodland,17.0,Gary Woodland
49,5408,Harris English,183.0,Harris English
50,5504,Hudson Swafford,426.0,Hudson Swafford
51,6196,Joel Dahmen,101.0,Joel Dahmen
52,1680,Jason Day,37.0,Jason Day
53,110,Jason Dufner,257.0,Jason Dufner
54,11099,Joaquin Niemann,58.0,Joaquin Niemann
55,4691933,John Pak,99999.0,John Pak
56,10505,J.T. Poston,77.0,J.T. Poston
57,9780,Jon Rahm,3.0,Jon Rahm
58,5467,Jordan Spieth,44.0,Jordan Spieth
59,1030,Jhonattan Vegas,154.0,Jhonattan Vegas
60,4513,Keegan Bradley,51.0,Keegan Bradley
61,10363,Kramer Hickok,225.0,Kramer Hickok
62,10364,Kurt Kitayama,75.0,Kurt Kitayama
63,7083,Kyoung-Hoon Lee,99999.0,Kyoung-Hoon Lee
64,8906,Keith Mitchell,98.0,Keith Mitchell
65,1077,Kevin Streelman,122.0,Kevin Streelman
66,601,Luke Donald,431.0,Luke Donald
67,676,Lucas Glover,71.0,Lucas Glover
68,5962,Lanto Griffin,119.0,Lanto Griffin
69,10343,Lucas Herbert,201.0,Lucas Herbert
70,1059,Luke List,143.0,Luke List
71,9037,Matthew Fitzpatrick,25.0,Matthew Fitzpatrick
72,8973,Max Homa,130.0,Max Homa
73,6931,Mackenzie Hughes,264.0,Mackenzie Hughes
74,1367,Matt Jones,99.0,Matt Jones
75,257,Matt Kuchar,24.0,Matt Kuchar
76,2571,Martin Laird,340.0,Martin Laird
